x	y	temp	time	received_request	a	r	sp_x	sp_y	sp_temp	sp_time	sp_received_request
5	2	2	1	false	4	-5.0	6	2	2	1	false
6	2	2	1	false	2	-5.0	6	1	2	1	false
6	1	2	1	false	3	-5.0	5	1	2	1	false
5	1	2	1	false	1	-5.0	5	2	2	1	false
5	2	2	1	false	3	-5.0	4	2	2	1	false
4	2	2	1	false	3	-5.0	3	2	2	1	false
3	2	2	1	false	5	0	3	2	2	1	false
3	2	2	1	false	2	-5.0	3	1	2	1	false
3	1	2	1	false	1	-5.0	3	2	2	1	false
3	2	2	1	false	3	-5.0	2	2	2	1	false
2	2	2	1	false	3	-5.0	1	2	2	1	false
1	2	2	1	false	1	-5.0	1	3	2	1	false
1	3	2	1	false	5	0	1	3	2	1	false
1	3	2	1	false	5	995.0	1	3	2	1	true
1	1	2	2	false	2	0	1	1	2	2	false
1	1	2	2	false	4	-5.0	2	1	2	2	false
2	1	2	2	false	2	0	2	1	2	2	false
2	1	2	2	false	2	0	2	1	2	2	false
2	1	2	2	false	4	-5.0	3	1	2	2	false
3	1	2	2	false	1	-5.0	3	2	2	2	false
3	2	2	2	false	4	-5.0	4	2	2	2	false
4	2	2	2	false	3	-5.0	3	2	2	2	false
3	2	2	2	false	4	-5.0	4	2	2	2	false
4	2	2	2	false	3	-5.0	3	2	2	2	false
3	2	2	2	false	4	-5.0	4	2	2	2	false
4	2	2	2	false	2	-5.0	4	1	2	2	false
4	1	2	2	false	5	0	4	1	2	2	false
4	1	2	2	false	5	0	4	1	2	2	false
4	1	2	2	false	1	-5.0	4	2	2	2	false
4	2	2	2	false	3	-5.0	3	2	2	2	false
3	2	2	2	false	1	-5.0	3	3	2	2	false
3	3	2	2	false	2	-5.0	3	2	2	2	false
3	2	2	2	false	3	-5.0	2	2	2	2	false
2	2	2	2	false	4	-5.0	3	2	2	2	false
3	2	2	2	false	1	-5.0	3	3	2	2	false
3	3	2	2	false	2	-5.0	3	2	2	2	false
3	2	2	2	false	3	-5.0	2	2	2	2	false
2	2	2	2	false	2	-5.0	2	1	2	2	false
2	1	2	2	false	2	0	2	1	2	2	false
2	1	2	2	false	1	-5.0	2	2	2	2	false
2	2	2	2	false	2	-5.0	2	1	2	2	false
2	1	2	2	false	1	-5.0	2	2	2	2	false
2	2	2	2	false	5	0	2	2	2	2	false
2	2	2	2	false	1	-5.0	2	3	2	2	false
2	3	2	2	false	2	-5.0	2	2	2	2	false
2	2	2	2	false	5	0	2	2	2	2	false
2	2	2	2	false	2	-5.0	2	1	2	2	false
2	1	2	2	false	3	-5.0	1	1	2	2	false
1	1	2	2	false	4	-5.0	2	1	2	2	false
2	1	2	2	false	3	-5.0	1	1	2	2	false
1	1	2	2	false	5	0	1	1	2	2	false
1	1	2	2	false	5	0	1	1	2	2	false
1	1	2	2	false	2	0	1	1	2	2	false
1	1	2	2	false	5	0	1	1	2	2	false
1	1	2	2	false	1	-5.0	1	2	2	2	false
1	2	2	2	false	3	0	1	2	2	2	false
1	2	2	2	false	1	-5.0	1	3	2	2	false
1	3	2	2	false	1	-5.0	1	4	2	2	false
1	4	2	2	false	5	0	1	4	2	2	false
1	4	2	2	false	1	-5.0	1	5	2	2	false
1	5	2	2	false	1	-5.0	1	6	2	2	false
1	6	2	2	false	2	-5.0	1	5	2	2	false
1	5	2	2	false	1	-5.0	1	6	2	2	false
1	6	2	2	false	4	-5.0	2	6	2	2	false
2	6	2	2	false	4	-5.0	3	6	2	2	false
3	6	2	2	false	3	-5.0	2	6	2	2	false
2	6	2	2	false	4	-5.0	3	6	2	2	false
3	6	2	2	false	5	0	3	6	2	2	false
3	6	2	2	false	3	-5.0	2	6	2	2	false
2	6	2	2	false	2	-5.0	2	5	2	2	false
2	5	2	2	false	2	-5.0	2	4	2	2	false
2	4	2	2	false	3	-5.0	1	4	2	2	false
1	4	2	2	false	5	0	1	4	2	2	false
1	4	2	2	false	5	0	1	4	2	2	false
1	4	2	2	false	1	-5.0	1	5	2	2	false
1	5	2	2	false	1	-5.0	1	6	2	2	false
1	6	2	2	false	5	0	1	6	2	2	false
1	6	2	2	false	5	0	1	6	2	2	false
1	6	2	2	false	2	-5.0	1	5	2	2	false
1	5	2	2	false	2	-5.0	1	4	2	2	false
1	4	2	2	false	3	0	1	4	2	2	false
1	4	2	2	false	1	-5.0	1	5	2	2	false
1	5	2	2	false	1	-5.0	1	6	2	2	false
1	6	2	2	false	4	-5.0	2	6	2	2	false
2	6	2	2	false	5	0	2	6	2	2	false
2	6	2	2	false	3	-5.0	1	6	2	2	false
1	6	2	2	false	1	-5.0	1	7	2	2	false
1	7	2	2	false	1	-5.0	1	8	2	2	false
1	8	2	2	false	5	0	1	8	2	2	false
1	8	2	2	false	3	0	1	8	2	2	false
1	8	2	2	false	2	-5.0	1	7	2	2	false
1	7	2	2	false	3	0	1	7	2	2	false
1	7	2	2	false	4	-5.0	2	7	2	2	false
2	7	2	2	false	3	-5.0	1	7	2	2	false
1	7	2	2	false	4	-5.0	2	7	2	2	false
2	7	2	2	false	1	-5.0	2	8	2	2	false
2	8	2	2	false	2	-5.0	2	7	2	2	false
2	7	2	2	false	1	-5.0	2	8	2	2	false
2	8	2	2	false	4	-5.0	3	8	2	2	false
3	8	2	2	false	1	-5.0	3	9	2	2	false
3	9	2	2	false	2	-5.0	3	8	2	2	false
3	8	2	2	false	5	0	3	8	2	2	false
3	8	2	2	false	4	-5.0	4	8	2	2	false
4	8	2	2	false	1	-5.0	4	9	2	2	false
4	9	2	2	false	4	-5.0	5	9	2	2	false
5	9	2	2	false	1	-5.0	5	10	2	2	false
5	10	2	2	false	1	-5.0	5	11	2	2	false
5	11	2	2	false	1	-5.0	5	12	2	2	false
5	12	2	2	false	2	-5.0	5	11	2	2	false
5	11	2	2	false	3	-5.0	4	11	2	2	false
4	11	2	2	false	5	0	4	11	2	2	false
4	11	2	2	false	3	-5.0	3	11	2	2	false
3	11	2	2	false	3	-5.0	2	11	2	2	false
2	11	2	2	false	3	-5.0	1	11	2	2	false
1	1	2	3	false	1	-5.0	1	2	2	3	false
1	2	2	3	false	1	-5.0	1	3	2	3	false
1	3	2	3	false	4	-5.0	2	3	2	3	false
2	3	2	3	false	5	0	2	3	2	3	false
2	3	2	3	false	1	-5.0	2	4	2	3	false
2	4	2	3	false	1	-5.0	2	5	2	3	false
2	5	2	3	false	2	-5.0	2	4	2	3	false
2	4	2	3	false	2	-5.0	2	3	2	3	false
2	3	2	3	false	2	-5.0	2	2	2	3	false
2	2	2	3	false	1	-5.0	2	3	2	3	false
2	3	2	3	false	4	-5.0	3	3	2	3	false
3	3	2	3	false	5	0	3	3	2	3	false
3	3	2	3	false	4	-5.0	4	3	2	3	false
4	3	2	3	false	1	-5.0	4	4	2	3	false
4	4	2	3	false	1	-5.0	4	5	2	3	false
4	5	2	3	false	5	0	4	5	2	3	false
4	5	2	3	false	4	-5.0	5	5	2	3	false
5	5	2	3	false	2	-5.0	5	4	2	3	false
5	4	2	3	false	3	-5.0	4	4	2	3	false
4	4	2	3	false	1	-5.0	4	5	2	3	false
4	5	2	3	false	3	-5.0	3	5	2	3	false
3	5	2	3	false	4	-5.0	4	5	2	3	false
4	5	2	3	false	2	-5.0	4	4	2	3	false
4	4	2	3	false	2	-5.0	4	3	2	3	false
4	3	2	3	false	2	-5.0	4	2	2	3	false
4	2	2	3	false	2	-5.0	4	1	2	3	false
4	1	2	3	false	5	0	4	1	2	3	false
4	1	2	3	false	4	-5.0	5	1	2	3	false
5	1	2	3	false	5	0	5	1	2	3	false
5	1	2	3	false	4	-5.0	6	1	2	3	false
6	1	2	3	false	2	0	6	1	2	3	false
6	1	2	3	false	4	-5.0	7	1	2	3	false
7	1	2	3	false	5	0	7	1	2	3	false
7	1	2	3	false	1	-5.0	7	2	2	3	false
7	2	2	3	false	3	-5.0	6	2	2	3	false
6	2	2	3	false	3	-5.0	5	2	2	3	false
5	2	2	3	false	5	0	5	2	2	3	false
5	2	2	3	false	4	-5.0	6	2	2	3	false
6	2	2	3	false	5	0	6	2	2	3	false
6	2	2	3	false	5	0	6	2	2	3	false
6	2	2	3	false	5	0	6	2	2	3	false
6	2	2	3	false	3	-5.0	5	2	2	3	false
5	2	2	3	false	4	-5.0	6	2	2	3	false
6	2	2	3	false	3	-5.0	5	2	2	3	false
5	2	2	3	false	5	0	5	2	2	3	false
5	2	2	3	false	3	-5.0	4	2	2	3	false
4	2	2	3	false	4	-5.0	5	2	2	3	false
5	2	2	3	false	5	0	5	2	2	3	false
5	2	2	3	false	2	-5.0	5	1	2	3	false
5	1	2	3	false	3	-5.0	4	1	2	3	false
4	1	2	3	false	3	-5.0	3	1	2	3	false
3	1	2	3	false	1	-5.0	3	2	2	3	false
3	2	2	3	false	5	0	3	2	2	3	false
3	2	2	3	false	1	-5.0	3	3	2	3	false
3	3	2	3	false	2	-5.0	3	2	2	3	false
3	2	2	3	false	1	-5.0	3	3	2	3	false
3	3	2	3	false	3	-5.0	2	3	2	3	false
2	3	2	3	false	3	-5.0	1	3	2	3	false
1	3	2	3	false	2	-5.0	1	2	2	3	false
1	2	2	3	false	5	0	1	2	2	3	false
1	2	2	3	false	3	0	1	2	2	3	false
1	2	2	3	false	2	-5.0	1	1	2	3	false
1	1	2	3	false	2	0	1	1	2	3	false
1	1	2	3	false	4	-5.0	2	1	2	3	false
2	1	2	3	false	4	-5.0	3	1	2	3	false
3	1	2	3	false	1	-5.0	3	2	2	3	false
3	2	2	3	false	2	-5.0	3	1	2	3	false
3	1	2	3	false	2	0	3	1	2	3	false
3	1	2	3	false	5	0	3	1	2	3	false
3	1	2	3	false	1	-5.0	3	2	2	3	false
3	2	2	3	false	1	-5.0	3	3	2	3	false
3	3	2	3	false	5	995.0	3	3	2	3	true
1	1	2	4	false	4	-5.0	2	1	2	4	false
2	1	2	4	false	1	-5.0	2	2	2	4	false
2	2	2	4	false	2	-5.0	2	1	2	4	false
2	1	2	4	false	4	-5.0	3	1	2	4	false
3	1	2	4	false	1	-5.0	3	2	2	4	false
3	2	2	4	false	2	-5.0	3	1	2	4	false
3	1	2	4	false	4	-5.0	4	1	2	4	false
4	1	2	4	false	1	-5.0	4	2	2	4	false
4	2	2	4	false	1	-5.0	4	3	2	4	false
4	3	2	4	false	5	0	4	3	2	4	false
4	3	2	4	false	5	0	4	3	2	4	false
4	3	2	4	false	4	-5.0	5	3	2	4	false
5	3	2	4	false	3	-5.0	4	3	2	4	false
4	3	2	4	false	2	-5.0	4	2	2	4	false
4	2	2	4	false	4	-5.0	5	2	2	4	false
5	2	2	4	false	1	995.0	5	3	2	4	true
1	1	3	1	false	4	-5.0	2	1	3	1	false
2	1	3	1	false	2	0	2	1	3	1	false
2	1	3	1	false	4	-5.0	3	1	3	1	false
3	1	3	1	false	5	0	3	1	3	1	false
3	1	3	1	false	5	0	3	1	3	1	false
3	1	3	1	false	3	-5.0	2	1	3	1	false
2	1	3	1	false	4	-5.0	3	1	3	1	false
3	1	3	1	false	3	-5.0	2	1	3	1	false
2	1	3	1	false	5	0	2	1	3	1	false
2	1	3	1	false	3	-5.0	1	1	3	1	false
1	1	3	1	false	1	-5.0	1	2	3	1	false
1	2	3	1	false	4	-5.0	2	2	3	1	false
2	2	3	1	false	4	-5.0	3	2	3	1	false
3	2	3	1	false	2	-5.0	3	1	3	1	false
3	1	3	1	false	1	-5.0	3	2	3	1	false
3	2	3	1	false	2	-5.0	3	1	3	1	false
3	1	3	1	false	5	0	3	1	3	1	false
3	1	3	1	false	3	-5.0	2	1	3	1	false
2	1	3	1	false	1	-5.0	2	2	3	1	false
2	2	3	1	false	4	-5.0	3	2	3	1	false
3	2	3	1	false	2	-5.0	3	1	3	1	false
3	1	3	1	false	1	-5.0	3	2	3	1	false
3	2	3	1	false	2	-5.0	3	1	3	1	false
3	1	3	1	false	1	-5.0	3	2	3	1	false
3	2	3	1	false	2	-5.0	3	1	3	1	false
3	1	3	1	false	2	0	3	1	3	1	false
3	1	3	1	false	2	0	3	1	3	1	false
3	1	3	1	false	4	-5.0	4	1	3	1	false
4	1	3	1	false	1	-5.0	4	2	3	1	false
4	2	3	1	false	4	-5.0	5	2	3	1	false
5	2	3	1	false	1	-5.0	5	3	3	1	false
5	3	3	1	false	1	-5.0	5	4	3	1	false
5	4	3	1	false	2	995.0	5	3	3	1	true
1	1	3	2	false	2	0	1	1	3	2	false
1	1	3	2	false	4	-5.0	2	1	3	2	false
2	1	3	2	false	4	-5.0	3	1	3	2	false
3	1	3	2	false	1	-5.0	3	2	3	2	false
3	2	3	2	false	3	-5.0	2	2	3	2	false
2	2	3	2	false	4	-5.0	3	2	3	2	false
3	2	3	2	false	4	-5.0	4	2	3	2	false
4	2	3	2	false	2	-5.0	4	1	3	2	false
4	1	3	2	false	2	0	4	1	3	2	false
4	1	3	2	false	1	-5.0	4	2	3	2	false
4	2	3	2	false	3	-5.0	3	2	3	2	false
3	2	3	2	false	4	-5.0	4	2	3	2	false
4	2	3	2	false	2	-5.0	4	1	3	2	false
4	1	3	2	false	3	-5.0	3	1	3	2	false
3	1	3	2	false	4	-5.0	4	1	3	2	false
4	1	3	2	false	5	0	4	1	3	2	false
4	1	3	2	false	4	-5.0	5	1	3	2	false
5	1	3	2	false	2	0	5	1	3	2	false
5	1	3	2	false	3	-5.0	4	1	3	2	false
4	1	3	2	false	5	0	4	1	3	2	false
4	1	3	2	false	2	0	4	1	3	2	false
4	1	3	2	false	5	0	4	1	3	2	false
4	1	3	2	false	4	-5.0	5	1	3	2	false
5	1	3	2	false	2	0	5	1	3	2	false
5	1	3	2	false	5	0	5	1	3	2	false
5	1	3	2	false	1	-5.0	5	2	3	2	false
5	2	3	2	false	5	0	5	2	3	2	false
5	2	3	2	false	1	-5.0	5	3	3	2	false
5	3	3	2	false	4	-5.0	6	3	3	2	false
6	3	3	2	false	2	-5.0	6	2	3	2	false
6	2	3	2	false	5	0	6	2	3	2	false
6	2	3	2	false	4	-5.0	7	2	3	2	false
7	2	3	2	false	3	-5.0	6	2	3	2	false
6	2	3	2	false	4	995.0	7	2	3	2	true
1	1	3	3	false	1	-5.0	1	2	3	3	false
1	2	3	3	false	2	-5.0	1	1	3	3	false
1	1	3	3	false	4	0	1	1	3	3	false
1	1	3	3	false	5	0	1	1	3	3	false
1	1	3	3	false	5	0	1	1	3	3	false
1	1	3	3	false	3	0	1	1	3	3	false
1	1	3	3	false	1	-5.0	1	2	3	3	false
1	2	3	3	false	4	-5.0	2	2	3	3	false
2	2	3	3	false	5	0	2	2	3	3	false
2	2	3	3	false	1	-5.0	2	3	3	3	false
2	3	3	3	false	1	-5.0	2	4	3	3	false
2	4	3	3	false	3	-5.0	1	4	3	3	false
1	4	3	3	false	5	0	1	4	3	3	false
1	4	3	3	false	3	0	1	4	3	3	false
1	4	3	3	false	2	-5.0	1	3	3	3	false
1	3	3	3	false	4	-5.0	2	3	3	3	false
2	3	3	3	false	4	-5.0	3	3	3	3	false
3	3	3	3	false	2	-5.0	3	2	3	3	false
3	2	3	3	false	5	0	3	2	3	3	false
3	2	3	3	false	4	-5.0	4	2	3	3	false
4	2	3	3	false	1	-5.0	4	3	3	3	false
4	3	3	3	false	4	-5.0	5	3	3	3	false
5	3	3	3	false	5	0	5	3	3	3	false
5	3	3	3	false	5	0	5	3	3	3	false
5	3	3	3	false	2	-5.0	5	2	3	3	false
5	2	3	3	false	5	0	5	2	3	3	false
5	2	3	3	false	4	-5.0	6	2	3	3	false
6	2	3	3	false	4	-5.0	7	2	3	3	false
7	2	3	3	false	4	-5.0	8	2	3	3	false
8	2	3	3	false	3	-5.0	7	2	3	3	false
7	2	3	3	false	1	-5.0	7	3	3	3	false
7	3	3	3	false	2	-5.0	7	2	3	3	false
7	2	3	3	false	4	-5.0	8	2	3	3	false
8	2	3	3	false	3	-5.0	7	2	3	3	false
7	2	3	3	false	4	-5.0	8	2	3	3	false
8	2	3	3	false	1	-5.0	8	3	3	3	false
8	3	3	3	false	2	-5.0	8	2	3	3	false
8	2	3	3	false	3	-5.0	7	2	3	3	false
7	2	3	3	false	4	-5.0	8	2	3	3	false
8	2	3	3	false	4	-5.0	9	2	3	3	false
9	2	3	3	false	3	-5.0	8	2	3	3	false
8	2	3	3	false	1	-5.0	8	3	3	3	false
8	3	3	3	false	2	-5.0	8	2	3	3	false
8	2	3	3	false	3	-5.0	7	2	3	3	false
7	2	3	3	false	3	-5.0	6	2	3	3	false
6	2	3	3	false	2	-5.0	6	1	3	3	false
6	1	3	3	false	5	0	6	1	3	3	false
6	1	3	3	false	1	-5.0	6	2	3	3	false
6	2	3	3	false	3	-5.0	5	2	3	3	false
5	2	3	3	false	2	-5.0	5	1	3	3	false
5	1	3	3	false	5	0	5	1	3	3	false
5	1	3	3	false	1	-5.0	5	2	3	3	false
5	2	3	3	false	3	-5.0	4	2	3	3	false
4	2	3	3	false	5	0	4	2	3	3	false
4	2	3	3	false	4	-5.0	5	2	3	3	false
5	2	3	3	false	2	-5.0	5	1	3	3	false
5	1	3	3	false	5	0	5	1	3	3	false
5	1	3	3	false	3	-5.0	4	1	3	3	false
4	1	3	3	false	3	-5.0	3	1	3	3	false
3	1	3	3	false	4	0	3	1	3	3	false
3	1	3	3	false	3	-5.0	2	1	3	3	false
2	1	3	3	false	5	0	2	1	3	3	false
2	1	3	3	false	2	0	2	1	3	3	false
2	1	3	3	false	5	0	2	1	3	3	false
2	1	3	3	false	3	-5.0	1	1	3	3	false
1	1	3	3	false	5	0	1	1	3	3	false
1	1	3	3	false	4	995.0	2	1	3	3	true
1	1	3	4	false	1	-5.0	1	2	3	4	false
1	2	3	4	false	4	-5.0	2	2	3	4	false
2	2	3	4	false	5	0	2	2	3	4	false
2	2	3	4	false	4	-5.0	3	2	3	4	false
3	2	3	4	false	3	995.0	2	2	3	4	true
1	1	4	1	false	2	0	1	1	4	1	false
1	1	4	1	false	1	-5.0	1	2	4	1	false
1	2	4	1	false	4	-5.0	2	2	4	1	false
2	2	4	1	false	3	-5.0	1	2	4	1	false
1	2	4	1	false	3	0	1	2	4	1	false
1	2	4	1	false	4	-5.0	2	2	4	1	false
2	2	4	1	false	1	-5.0	2	3	4	1	false
2	3	4	1	false	3	-5.0	1	3	4	1	false
1	3	4	1	false	1	-5.0	1	4	4	1	false
1	4	4	1	false	5	0	1	4	4	1	false
1	4	4	1	false	3	0	1	4	4	1	false
1	4	4	1	false	5	0	1	4	4	1	false
1	4	4	1	false	2	-5.0	1	3	4	1	false
1	3	4	1	false	3	0	1	3	4	1	false
1	3	4	1	false	2	-5.0	1	2	4	1	false
1	2	4	1	false	5	0	1	2	4	1	false
1	2	4	1	false	4	-5.0	2	2	4	1	false
2	2	4	1	false	4	-5.0	3	2	4	1	false
3	2	4	1	false	5	0	3	2	4	1	false
3	2	4	1	false	1	-5.0	3	3	4	1	false
3	3	4	1	false	2	-5.0	3	2	4	1	false
3	2	4	1	false	4	-5.0	4	2	4	1	false
4	2	4	1	false	3	-5.0	3	2	4	1	false
3	2	4	1	false	4	-5.0	4	2	4	1	false
4	2	4	1	false	5	0	4	2	4	1	false
4	2	4	1	false	3	-5.0	3	2	4	1	false
3	2	4	1	false	5	0	3	2	4	1	false
3	2	4	1	false	3	-5.0	2	2	4	1	false
2	2	4	1	false	5	0	2	2	4	1	false
2	2	4	1	false	5	0	2	2	4	1	false
2	2	4	1	false	2	-5.0	2	1	4	1	false
2	1	4	1	false	2	0	2	1	4	1	false
2	1	4	1	false	5	0	2	1	4	1	false
2	1	4	1	false	2	0	2	1	4	1	false
2	1	4	1	false	5	0	2	1	4	1	false
2	1	4	1	false	3	-5.0	1	1	4	1	false
1	1	4	1	false	2	0	1	1	4	1	false
1	1	4	1	false	2	0	1	1	4	1	false
1	1	4	1	false	5	0	1	1	4	1	false
1	1	4	1	false	3	0	1	1	4	1	false
1	1	4	1	false	2	0	1	1	4	1	false
1	1	4	1	false	2	0	1	1	4	1	false
1	1	4	1	false	5	0	1	1	4	1	false
1	1	4	1	false	1	-5.0	1	2	4	1	false
1	2	4	1	false	5	0	1	2	4	1	false
1	2	4	1	false	5	0	1	2	4	1	false
1	2	4	1	false	3	0	1	2	4	1	false
1	2	4	1	false	5	0	1	2	4	1	false
1	2	4	1	false	3	0	1	2	4	1	false
1	2	4	1	false	5	0	1	2	4	1	false
1	2	4	1	false	1	-5.0	1	3	4	1	false
1	3	4	1	false	1	-5.0	1	4	4	1	false
1	4	4	1	false	2	-5.0	1	3	4	1	false
1	3	4	1	false	1	-5.0	1	4	4	1	false
1	4	4	1	false	2	-5.0	1	3	4	1	false
1	3	4	1	false	5	0	1	3	4	1	false
1	3	4	1	false	3	0	1	3	4	1	false
1	3	4	1	false	1	-5.0	1	4	4	1	false
1	4	4	1	false	2	-5.0	1	3	4	1	false
1	3	4	1	false	2	-5.0	1	2	4	1	false
1	2	4	1	false	2	-5.0	1	1	4	1	false
1	1	4	1	false	2	0	1	1	4	1	false
1	1	4	1	false	5	0	1	1	4	1	false
1	1	4	1	false	2	0	1	1	4	1	false
1	1	4	1	false	3	0	1	1	4	1	false
1	1	4	1	false	2	0	1	1	4	1	false
1	1	4	1	false	2	0	1	1	4	1	false
1	1	4	1	false	3	0	1	1	4	1	false
1	1	4	1	false	1	-5.0	1	2	4	1	false
1	2	4	1	false	3	0	1	2	4	1	false
1	2	4	1	false	5	0	1	2	4	1	false
1	2	4	1	false	2	-5.0	1	1	4	1	false
